iter	RMSE
0	6396.457528
1	6304.599
2	6211.961003
3	6120.434395
4	6027.096881
5	5941.132403
6	5857.639707
7	5774.689382
8	5693.249895
9	5612.310845
10	5529.97298
11	5453.034719
12	5374.166276
13	5298.200434
14	5228.745178
15	5157.633023
16	5087.426445
17	5021.396396
18	4954.932019
19	4889.485974
20	4825.06795
21	4762.692665
22	4702.145727
23	4640.884566
24	4579.552368
25	4525.18404
26	4468.870205
27	4414.40088
28	4362.298651
29	4310.501645
30	4258.595504
31	4206.318182
32	4154.185944
33	4107.125386
34	4063.294784
35	4018.123818
36	3981.38869
37	3939.522011
38	3898.74699
39	3858.328707
40	3814.927957
41	3775.256274
42	3735.766823
43	3697.929334
44	3660.728348
45	3624.11027
46	3589.978266
47	3556.717015
48	3525.788599
49	3491.339442
50	3459.382306
51	3427.533941
52	3399.739519
53	3367.372365
54	3338.733756
55	3310.327349
56	3281.756051
57	3251.637837
58	3225.17644
59	3199.863419
60	3175.541193
61	3148.794342
62	3127.635384
63	3103.781978
64	3080.149742
65	3060.501175
66	3039.198876
67	3016.293472
68	2996.848542
69	2977.886883
70	2959.126482
71	2941.179371
72	2924.274669
73	2906.877912
74	2889.52388
75	2873.684382
76	2855.772469
77	2841.407155
78	2825.922142
79	2809.392956
80	2795.146057
81	2781.983933
82	2767.773783
83	2754.330462
84	2741.992937
85	2728.440104
86	2716.88292
87	2702.107892
88	2690.187294
89	2678.909735
90	2668.083782
91	2655.179796
92	2643.138522
93	2632.582341
94	2620.124381
95	2608.001303
96	2597.963303
97	2588.90325
98	2579.479965
99	2569.658045
100	2560.755739
101	2549.891533
102	2538.877962
103	2529.685588
104	2520.010761
105	2512.350729
106	2502.191556
107	2493.603372
108	2485.866121
109	2476.457445
110	2469.739874
111	2463.240604
112	2455.989242
113	2450.013389
114	2442.031415
115	2435.59243
116	2429.79925
117	2423.386357
118	2416.902723
119	2411.890928
120	2404.506229
121	2399.03189
122	2393.373459
123	2388.418466
124	2382.251628
125	2376.71173
126	2372.357152
127	2368.206727
128	2363.913743
129	2359.467046
130	2354.544586
131	2350.828304
132	2345.51529
133	2341.851019
134	2336.240377
135	2330.578901
136	2326.60093
137	2321.325396
138	2317.625255
139	2313.609404
140	2310.008945
141	2305.319911
142	2301.459889
143	2298.548408
144	2295.363137
145	2291.208565
146	2286.242267
147	2282.753683
148	2278.192875
149	2274.764347
150	2271.570589
151	2268.923539
152	2265.050235
153	2262.207713
154	2259.060931
155	2256.312016
156	2251.975114
157	2249.082725
158	2246.392174
159	2242.808854
160	2240.337176
161	2237.665206
162	2235.800502
163	2233.491614
164	2230.651767
165	2228.108188
166	2225.141588
167	2221.448863
168	2218.222594
169	2215.59448
170	2212.305348
171	2209.607303
172	2206.233517
173	2204.071298
174	2202.394384
175	2200.746635
176	2198.517325
177	2196.697033
178	2194.327108
179	2192.348668
180	2189.294964
181	2187.241371
182	2184.740154
183	2182.4509
184	2179.967466
185	2177.890338
186	2175.835653
187	2173.871607
188	2171.937314
189	2169.151633
190	2167.29988
191	2165.368674
192	2163.757155
193	2162.486992
194	2161.133079
195	2159.103683
196	2156.472303
197	2154.482761
198	2152.776698
199	2151.04911
200	2148.489655
201	2145.898741
202	2143.789849
203	2141.891215
204	2140.341051
205	2138.610334
206	2137.115255
207	2135.591358
208	2133.580753
209	2132.392792
210	2129.360171
211	2127.837972
212	2126.592423
213	2124.628444
214	2123.03438
215	2121.292732
216	2119.000538
217	2117.725968
218	2116.313775
219	2114.570803
220	2113.179304
221	2110.980713
222	2109.812124
223	2108.335636
224	2106.219464
225	2104.880546
226	2102.943616
227	2102.303568
228	2100.919437
229	2099.287483
230	2098.128066
231	2097.161052
232	2095.711336
233	2092.985354
234	2092.025503
235	2090.432215
236	2088.969268
237	2088.003116
238	2086.971792
239	2086.066214
240	2085.306349
241	2084.313168
242	2083.074466
243	2081.554382
244	2080.630275
245	2078.672026
246	2077.837777
247	2076.524362
248	2075.239399
249	2074.1788
250	2073.142609
251	2072.152441
252	2070.139011
253	2069.258243
254	2068.117082
255	2066.577099
256	2065.446242
257	2063.730391
258	2062.648887
259	2061.607749
260	2060.255388
261	2059.111238
262	2057.495219
263	2056.344419
264	2055.193646
265	2054.1385
266	2053.240194
267	2052.111808
268	2051.290637
269	2049.865872
270	2048.944475
271	2047.237528
272	2046.030471
273	2044.873008
274	2043.570537
275	2042.492832
276	2041.322454
277	2040.309569
278	2039.175993
279	2037.763766
280	2036.712942
281	2035.706784
282	2034.71289
283	2033.905247
284	2032.975159
285	2032.221822
286	2031.500549
287	2030.753147
288	2029.781645
289	2029.019949
290	2028.386449
291	2027.696428
292	2026.969222
293	2026.156886
294	2024.966174
295	2024.052645
296	2023.256411
297	2022.486999
298	2021.642918
299	2020.796806
300	2020.011348
301	2019.200696
302	2018.71241
303	2017.651665
304	2016.764188
305	2015.12992
306	2014.552898
307	2013.936303
308	2013.121368
309	2012.284172
310	2010.586101
311	2009.82596
312	2009.181627
313	2008.549135
314	2007.703324
315	2007.172897
316	2006.320707
