iter	Passed	Remaining
0	166	128864
1	185	71790
2	206	53194
3	226	43622
4	246	37977
5	267	34225
6	287	31489
7	307	29512
8	327	27842
9	359	27470
10	380	26404
11	399	25430
12	420	24638
13	441	24005
14	461	23404
15	483	22947
16	504	22488
17	524	22051
18	544	21678
19	578	21850
20	598	21479
21	617	21129
22	636	20811
23	657	20558
24	677	20318
25	698	20118
26	719	19926
27	738	19708
28	758	19516
29	780	19385
30	802	19255
31	824	19152
32	861	19380
33	890	19411
34	915	19351
35	938	19265
36	949	18940
37	970	18828
38	991	18712
39	1013	18618
40	1034	18511
41	1055	18417
42	1075	18313
43	1097	18226
44	1116	18109
45	1137	18019
46	1157	17927
47	1178	17845
48	1199	17766
49	1219	17688
50	1240	17605
51	1261	17532
52	1279	17431
53	1300	17364
54	1319	17274
55	1339	17200
56	1360	17132
57	1380	17063
58	1399	16988
59	1420	16926
60	1440	16857
61	1460	16795
62	1479	16725
63	1499	16653
64	1518	16590
65	1540	16547
66	1562	16514
67	1582	16450
68	1602	16396
69	1624	16362
70	1644	16307
71	1663	16243
72	1683	16193
73	1703	16136
74	1723	16086
75	1757	16163
76	1776	16103
77	1795	16041
78	1816	16000
79	1837	15960
80	1857	15914
81	1879	15885
82	1902	15859
83	1922	15811
84	1941	15763
85	1963	15731
86	1983	15688
87	2008	15682
88	2031	15656
89	2050	15610
90	2073	15582
91	2095	15555
92	2117	15524
93	2136	15480
94	2158	15451
95	2180	15422
96	2201	15387
97	2223	15358
98	2245	15335
99	2266	15297
100	2286	15257
101	2306	15220
102	2328	15194
103	2349	15156
104	2368	15111
105	2387	15067
106	2406	15026
107	2426	14983
108	2443	14932
109	2464	14896
110	2484	14861
111	2509	14857
112	2536	14859
113	2556	14821
114	2577	14789
115	2598	14764
116	2618	14727
117	2638	14691
118	2657	14647
119	2676	14609
120	2696	14574
121	2716	14540
122	2736	14507
123	2756	14473
124	2777	14440
125	2797	14410
126	2816	14372
127	2836	14337
128	2856	14304
129	2876	14269
130	2895	14235
131	2915	14200
132	2934	14162
133	2954	14131
134	2973	14096
135	2994	14067
136	3017	14050
137	3040	14032
138	3059	14000
139	3080	13971
140	3100	13939
141	3121	13916
142	3144	13895
143	3165	13869
144	3186	13842
145	3207	13819
146	3229	13798
147	3250	13770
148	3271	13745
149	3292	13718
150	3312	13689
151	3333	13663
152	3358	13651
153	3379	13626
154	3399	13599
155	3421	13576
156	3442	13549
157	3460	13512
158	3481	13487
159	3501	13457
160	3520	13425
161	3540	13396
162	3560	13369
163	3580	13338
164	3597	13301
165	3615	13265
166	3636	13238
167	3655	13208
168	3675	13181
169	3692	13141
170	3711	13109
171	3729	13073
172	3750	13051
173	3768	13015
174	3787	12986
175	3804	12948
176	3823	12919
177	3842	12888
178	3861	12856
179	3879	12824
180	3899	12797
181	3918	12766
182	3937	12739
183	3958	12715
184	3976	12681
185	3994	12650
186	4013	12618
187	4030	12584
188	4050	12558
189	4070	12533
190	4090	12506
191	4110	12480
192	4127	12448
193	4147	12421
194	4166	12392
195	4183	12358
196	4202	12330
197	4223	12307
198	4243	12283
199	4262	12255
200	4282	12230
201	4300	12200
202	4320	12174
203	4343	12156
204	4362	12130
205	4379	12097
206	4399	12071
207	4417	12042
208	4437	12016
209	4455	11988
210	4476	11966
211	4494	11935
212	4514	11910
213	4532	11882
214	4551	11854
215	4569	11825
216	4590	11803
217	4609	11777
218	4629	11753
219	4646	11722
220	4667	11701
221	4687	11676
222	4705	11648
223	4724	11620
224	4744	11597
225	4764	11573
226	4784	11549
227	4803	11523
228	4821	11496
229	4842	11473
230	4861	11449
231	4879	11421
232	4897	11392
233	4917	11368
234	4936	11342
235	4954	11314
236	4973	11290
237	4991	11262
238	5010	11237
239	5030	11214
240	5049	11188
241	5069	11166
242	5089	11142
243	5111	11123
244	5133	11105
245	5154	11084
246	5175	11062
247	5196	11041
248	5217	11022
249	5240	11004
250	5259	10978
251	5279	10957
252	5299	10933
253	5317	10906
254	5335	10880
255	5354	10855
256	5375	10833
257	5395	10811
258	5414	10786
259	5432	10761
260	5451	10735
261	5471	10713
262	5491	10691
263	5510	10666
264	5528	10640
265	5549	10619
266	5568	10594
267	5588	10571
268	5609	10552
269	5629	10529
270	5648	10505
271	5669	10483
272	5686	10456
273	5704	10430
274	5724	10408
275	5743	10384
276	5762	10359
277	5779	10333
278	5799	10309
279	5818	10286
280	5836	10260
281	5856	10238
282	5875	10215
283	5900	10201
284	5920	10178
285	5939	10154
286	5958	10131
287	5977	10108
288	5995	10082
289	6015	10060
290	6033	10035
291	6055	10015
292	6075	9994
293	6094	9971
294	6115	9950
295	6134	9926
296	6155	9906
297	6173	9882
298	6191	9856
299	6210	9833
300	6230	9812
301	6252	9793
302	6274	9774
303	6296	9754
304	6315	9732
305	6338	9715
306	6360	9695
307	6382	9677
308	6403	9656
309	6423	9635
310	6447	9619
311	6467	9596
312	6486	9573
313	6507	9553
314	6529	9534
315	6548	9511
316	6571	9493
317	6589	9469
318	6611	9450
319	6633	9432
320	6655	9412
321	6675	9391
322	6696	9371
323	6717	9350
324	6736	9326
325	6754	9302
326	6772	9278
327	6790	9254
328	6810	9231
329	6829	9209
330	6848	9186
331	6866	9162
332	6884	9137
333	6901	9112
334	6922	9092
335	6938	9065
336	6956	9041
337	6974	9017
338	6993	8994
339	7011	8970
340	7030	8948
341	7048	8924
342	7068	8902
343	7087	8880
344	7106	8857
345	7123	8832
346	7141	8808
347	7161	8787
348	7180	8764
349	7198	8741
350	7218	8719
351	7236	8696
352	7254	8672
353	7273	8650
354	7291	8626
355	7311	8605
356	7330	8583
357	7349	8560
358	7368	8538
359	7387	8516
360	7407	8494
361	7425	8471
362	7445	8450
363	7464	8427
364	7482	8404
365	7503	8384
366	7522	8362
367	7540	8339
368	7562	8320
369	7584	8301
370	7603	8279
371	7624	8259
372	7644	8238
373	7664	8217
374	7685	8198
375	7706	8177
376	7728	8159
377	7747	8137
378	7768	8117
379	7788	8095
380	7811	8077
381	7830	8055
382	7849	8034
383	7870	8014
384	7890	7992
385	7911	7973
386	7931	7952
387	7951	7930
388	7970	7908
389	7989	7886
390	8009	7865
391	8027	7842
392	8045	7820
393	8065	7798
394	8083	7776
395	8107	7759
396	8127	7738
397	8146	7717
398	8164	7693
399	8182	7670
400	8201	7649
401	8219	7626
402	8240	7606
403	8258	7583
404	8277	7562
405	8296	7540
406	8314	7517
407	8333	7495
408	8350	7472
409	8372	7453
410	8389	7430
411	8408	7408
412	8426	7386
413	8444	7363
414	8463	7342
415	8483	7320
416	8505	7302
417	8525	7280
418	8545	7260
419	8563	7238
420	8583	7217
421	8601	7194
422	8621	7174
423	8639	7151
424	8657	7129
425	8677	7109
426	8695	7087
427	8714	7065
428	8733	7043
429	8756	7025
430	8776	7004
431	8794	6982
432	8813	6961
433	8834	6941
434	8855	6921
435	8873	6899
436	8894	6879
437	8913	6857
438	8933	6837
439	8953	6817
440	8973	6795
441	8991	6774
442	9010	6752
443	9029	6731
444	9048	6710
445	9068	6689
446	9087	6668
447	9106	6646
448	9125	6625
449	9144	6604
450	9163	6582
451	9183	6562
452	9202	6541
453	9222	6520
454	9241	6499
455	9261	6479
456	9281	6458
457	9300	6436
458	9320	6416
459	9339	6395
460	9359	6375
461	9378	6353
462	9397	6332
463	9414	6309
464	9433	6288
465	9451	6267
466	9471	6246
467	9490	6225
468	9512	6206
469	9529	6184
470	9548	6163
471	9567	6142
472	9586	6120
473	9606	6100
474	9624	6078
475	9643	6057
476	9664	6037
477	9685	6018
478	9706	5998
479	9727	5978
480	9748	5958
481	9768	5938
482	9789	5918
483	9810	5898
484	9830	5878
485	9849	5857
486	9868	5836
487	9886	5814
488	9904	5793
489	9924	5772
490	9942	5750
491	9960	5729
492	9979	5708
493	9999	5687
494	10017	5666
495	10036	5645
