number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_temperature,params_bootstrap_type,params_classifier,params_colsample_bytree,params_depth,params_gamma,params_iterations,params_l2_leaf_reg,params_lambda,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_data_per_groups,params_n_estimators,params_num_leaves,params_od_type,params_od_wait,params_random_strength,params_reg_alpha,params_reg_lambda,params_subsample,state
0,4119.16601079412,2023-02-14 17:18:30.229941,2023-02-14 17:20:07.089543,0 days 00:01:36.859602,1.672725038738464,,,XGB,0.3144656286178884,,0.5669099905560475,,,0.07228905884155198,0.0011527931591595812,7.0,,90.0,,1721.0,,,,,,,0.6688768276830763,COMPLETE
1,1442.4212984701346,2023-02-14 17:20:07.091544,2023-02-14 17:20:41.375779,0 days 00:00:34.284235,,,,LGBM,0.49107191032055375,,,,,,0.007767615716744023,2.0,33.0,,42.0,,696.0,,,,2.530022801007709,0.13119210607354928,0.9519313856780329,COMPLETE
2,1625.224804703603,2023-02-14 17:20:41.377779,2023-02-14 17:21:04.645368,0 days 00:00:23.267589,0.0459512742890779,,,XGB,0.5664182951234159,,0.29622045105366407,,,0.41560045971378207,0.014953761814651249,2.0,,72.0,,1261.0,,,,,,,0.14071901697126218,COMPLETE
3,1562.6551570851796,2023-02-14 17:21:04.647368,2023-02-14 17:21:38.989352,0 days 00:00:34.341984,,0.2905414971028575,Bayesian,CatBoost,,9.0,,904.0,0.027800488783056444,,0.00456025092104642,,,,,,,Iter,37.0,0.0809955213495917,,,,COMPLETE
4,1251.7463865626194,2023-02-14 17:21:38.991355,2023-02-14 17:22:46.162506,0 days 00:01:07.171151,,,,LGBM,0.7443963254049955,,,,,,0.03013228775027747,5.0,64.0,,18.0,,777.0,,,,0.02965984320832491,0.3456338538708672,0.7801148367584565,COMPLETE
5,1290.4184898409803,2023-02-14 17:22:46.163506,2023-02-14 17:23:19.841126,0 days 00:00:33.677620,0.02519858827078335,,,XGB,0.9430003713599815,,0.5312831560736946,,,0.5742037957422117,0.09265314524984593,11.0,,142.0,,243.0,,,,,,,0.7480550657094734,COMPLETE
6,1650.0935506004068,2023-02-14 17:23:19.844128,2023-02-14 17:23:34.261594,0 days 00:00:14.417466,,6.487500987899822,Bayesian,CatBoost,,6.0,,948.0,0.047396529622812204,,0.011428916155920782,,,,,,,IncToDec,50.0,6.786173134097299e-05,,,,COMPLETE
7,3469.5660986386524,2023-02-14 17:23:34.263595,2023-02-14 17:23:38.883752,0 days 00:00:04.620157,,0.41021506570988797,Bayesian,CatBoost,,9.0,,123.0,0.01330234163036929,,0.003399368117120172,,,,,,,Iter,49.0,3.286047640762211e-05,,,,COMPLETE
8,1326.4683199613426,2023-02-14 17:23:38.885754,2023-02-14 17:24:27.760438,0 days 00:00:48.874684,,,,LGBM,0.7418504586371637,,,,,,0.010155208690856518,3.0,50.0,,48.0,,603.0,,,,0.22232935806794552,0.01645125986196945,0.5734479745556795,COMPLETE
9,3168.6386541564952,2023-02-14 17:24:27.762437,2023-02-14 17:24:36.448569,0 days 00:00:08.686132,,3.0105488114926016,Bayesian,CatBoost,,6.0,,554.0,0.5676874718080201,,0.0010676964538787,,,,,,,Iter,33.0,0.004513184680717834,,,,COMPLETE
10,1305.1504759232357,2023-02-14 17:24:36.450579,2023-02-14 17:27:19.124955,0 days 00:02:42.674376,,,,LGBM,0.8181186777566346,,,,,,0.0489882212516652,24.0,283.0,,10.0,,105.0,,,,0.0014878960158377233,6.345816115815895,0.8819627890402638,COMPLETE
11,1266.743948033896,2023-02-14 17:27:19.126957,2023-02-14 17:33:57.027015,0 days 00:06:37.900058,0.0014554618460719594,,,XGB,0.9904126459499892,,0.8087770721888407,,,5.825913715360817,0.096328119751876,9.0,,267.0,,3768.0,,,,,,,0.7451513142244285,COMPLETE
12,1254.9342196476223,2023-02-14 17:33:57.029015,2023-02-14 17:35:14.278556,0 days 00:01:17.249541,,,,LGBM,0.9674925150380335,,,,,,0.034452939429847,5.0,147.0,,3.0,,969.0,,,,0.004963366307087911,0.7075982453267785,0.7475169538872342,COMPLETE
13,1252.9975763290904,2023-02-14 17:35:14.280557,2023-02-14 17:36:16.473927,0 days 00:01:02.193370,,,,LGBM,0.8036931807628875,,,,,,0.03007251080058414,4.0,155.0,,10.0,,995.0,,,,0.006755606756357933,0.6532660230685777,0.8297033981068267,COMPLETE
14,1256.980651618524,2023-02-14 17:36:16.475928,2023-02-14 17:37:17.773187,0 days 00:01:01.297259,,,,LGBM,0.7622344942942126,,,,,,0.025993593190369233,4.0,148.0,,97.0,,983.0,,,,0.05177572038988091,0.6210355760520341,0.8509388026314196,COMPLETE
15,1277.8215261151852,2023-02-14 17:37:17.775188,2023-02-14 17:40:21.668290,0 days 00:03:03.893102,,,,LGBM,0.658962049965911,,,,,,0.024623843178896147,14.0,102.0,,30.0,,778.0,,,,0.02496898404594619,0.0023222455009823057,0.5525626489527702,COMPLETE
16,1256.2835818073065,2023-02-14 17:40:21.670291,2023-02-14 17:41:24.339679,0 days 00:01:02.669388,,,,LGBM,0.8613806292462056,,,,,,0.04223209434772439,4.0,246.0,,22.0,,328.0,,,,0.010588962187457127,1.033865377696288,0.8530852983021354,COMPLETE
17,1241.0734201005107,2023-02-14 17:41:24.341680,2023-02-14 17:42:42.354943,0 days 00:01:18.013263,,,,LGBM,0.6505944798533226,,,,,,0.02210676163244214,6.0,207.0,,67.0,,819.0,,,,0.24237370162086863,0.06204939608639278,0.991147771412139,COMPLETE
18,1277.1717668334566,2023-02-14 17:42:42.356944,2023-02-14 17:45:27.572625,0 days 00:02:45.215681,,,,LGBM,0.6370767495583192,,,,,,0.017167899754071812,17.0,220.0,,71.0,,442.0,,,,0.3756153902120779,0.03531323255086695,0.9979338262664302,COMPLETE
19,1280.6061368096075,2023-02-14 17:45:27.574625,2023-02-14 17:46:41.286701,0 days 00:01:13.712076,,,,LGBM,0.48544622402500703,,,,,,0.060173939781629805,7.0,202.0,,72.0,,806.0,,,,1.1080374207146257,0.09233865799867823,0.6202330711588455,COMPLETE
